[2024-11-04T12:43:57.198+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: user_pipeline.transform_users manual__2024-11-04T12:43:55+00:00 [queued]>
[2024-11-04T12:43:57.204+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: user_pipeline.transform_users manual__2024-11-04T12:43:55+00:00 [queued]>
[2024-11-04T12:43:57.204+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 2
[2024-11-04T12:43:57.213+0000] {taskinstance.py:1380} INFO - Executing <Task(PythonOperator): transform_users> on 2024-11-04 12:43:55+00:00
[2024-11-04T12:43:57.217+0000] {standard_task_runner.py:57} INFO - Started process 98 to run task
[2024-11-04T12:43:57.220+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'user_pipeline', 'transform_users', 'manual__2024-11-04T12:43:55+00:00', '--job-id', '833', '--raw', '--subdir', 'DAGS_FOLDER/user_pipeline.py', '--cfg-path', '/tmp/tmpgzf6cahr']
[2024-11-04T12:43:57.220+0000] {standard_task_runner.py:85} INFO - Job 833: Subtask transform_users
[2024-11-04T12:43:57.261+0000] {task_command.py:415} INFO - Running <TaskInstance: user_pipeline.transform_users manual__2024-11-04T12:43:55+00:00 [running]> on host 73f28de08407
[2024-11-04T12:43:57.318+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='user_pipeline' AIRFLOW_CTX_TASK_ID='transform_users' AIRFLOW_CTX_EXECUTION_DATE='2024-11-04T12:43:55+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-11-04T12:43:55+00:00'
[2024-11-04T12:43:57.319+0000] {logging_mixin.py:151} INFO - Error: El usuario [ no tiene suficientes elementos
[2024-11-04T12:43:57.319+0000] {logging_mixin.py:151} INFO - Error: El usuario [ no tiene suficientes elementos
[2024-11-04T12:43:57.319+0000] {logging_mixin.py:151} INFO - Error: El usuario 1 no tiene suficientes elementos
[2024-11-04T12:43:57.319+0000] {logging_mixin.py:151} INFO - Error: El usuario , no tiene suficientes elementos
[2024-11-04T12:43:57.319+0000] {logging_mixin.py:151} INFO - Error: El usuario   no tiene suficientes elementos
[2024-11-04T12:43:57.319+0000] {logging_mixin.py:151} INFO - Error: El usuario ' no tiene suficientes elementos
[2024-11-04T12:43:57.319+0000] {logging_mixin.py:151} INFO - Error: El usuario J no tiene suficientes elementos
[2024-11-04T12:43:57.319+0000] {logging_mixin.py:151} INFO - Error: El usuario o no tiene suficientes elementos
[2024-11-04T12:43:57.319+0000] {logging_mixin.py:151} INFO - Error: El usuario h no tiene suficientes elementos
[2024-11-04T12:43:57.319+0000] {logging_mixin.py:151} INFO - Error: El usuario n no tiene suficientes elementos
[2024-11-04T12:43:57.319+0000] {logging_mixin.py:151} INFO - Error: El usuario ' no tiene suficientes elementos
[2024-11-04T12:43:57.319+0000] {logging_mixin.py:151} INFO - Error: El usuario , no tiene suficientes elementos
[2024-11-04T12:43:57.319+0000] {logging_mixin.py:151} INFO - Error: El usuario   no tiene suficientes elementos
[2024-11-04T12:43:57.320+0000] {logging_mixin.py:151} INFO - Error: El usuario ' no tiene suficientes elementos
[2024-11-04T12:43:57.320+0000] {logging_mixin.py:151} INFO - Error: El usuario D no tiene suficientes elementos
[2024-11-04T12:43:57.320+0000] {logging_mixin.py:151} INFO - Error: El usuario o no tiene suficientes elementos
[2024-11-04T12:43:57.320+0000] {logging_mixin.py:151} INFO - Error: El usuario e no tiene suficientes elementos
[2024-11-04T12:43:57.320+0000] {logging_mixin.py:151} INFO - Error: El usuario ' no tiene suficientes elementos
[2024-11-04T12:43:57.320+0000] {logging_mixin.py:151} INFO - Error: El usuario , no tiene suficientes elementos
[2024-11-04T12:43:57.320+0000] {logging_mixin.py:151} INFO - Error: El usuario   no tiene suficientes elementos
[2024-11-04T12:43:57.320+0000] {logging_mixin.py:151} INFO - Error: El usuario ' no tiene suficientes elementos
[2024-11-04T12:43:57.320+0000] {logging_mixin.py:151} INFO - Error: El usuario j no tiene suficientes elementos
[2024-11-04T12:43:57.320+0000] {logging_mixin.py:151} INFO - Error: El usuario o no tiene suficientes elementos
[2024-11-04T12:43:57.320+0000] {logging_mixin.py:151} INFO - Error: El usuario h no tiene suficientes elementos
[2024-11-04T12:43:57.320+0000] {logging_mixin.py:151} INFO - Error: El usuario n no tiene suficientes elementos
[2024-11-04T12:43:57.320+0000] {logging_mixin.py:151} INFO - Error: El usuario . no tiene suficientes elementos
[2024-11-04T12:43:57.320+0000] {logging_mixin.py:151} INFO - Error: El usuario d no tiene suficientes elementos
[2024-11-04T12:43:57.320+0000] {logging_mixin.py:151} INFO - Error: El usuario o no tiene suficientes elementos
[2024-11-04T12:43:57.320+0000] {logging_mixin.py:151} INFO - Error: El usuario e no tiene suficientes elementos
[2024-11-04T12:43:57.320+0000] {logging_mixin.py:151} INFO - Error: El usuario @ no tiene suficientes elementos
[2024-11-04T12:43:57.321+0000] {logging_mixin.py:151} INFO - Error: El usuario e no tiene suficientes elementos
[2024-11-04T12:43:57.321+0000] {logging_mixin.py:151} INFO - Error: El usuario x no tiene suficientes elementos
[2024-11-04T12:43:57.321+0000] {logging_mixin.py:151} INFO - Error: El usuario a no tiene suficientes elementos
[2024-11-04T12:43:57.321+0000] {logging_mixin.py:151} INFO - Error: El usuario m no tiene suficientes elementos
[2024-11-04T12:43:57.321+0000] {logging_mixin.py:151} INFO - Error: El usuario p no tiene suficientes elementos
[2024-11-04T12:43:57.321+0000] {logging_mixin.py:151} INFO - Error: El usuario l no tiene suficientes elementos
[2024-11-04T12:43:57.321+0000] {logging_mixin.py:151} INFO - Error: El usuario e no tiene suficientes elementos
[2024-11-04T12:43:57.321+0000] {logging_mixin.py:151} INFO - Error: El usuario . no tiene suficientes elementos
[2024-11-04T12:43:57.321+0000] {logging_mixin.py:151} INFO - Error: El usuario c no tiene suficientes elementos
[2024-11-04T12:43:57.321+0000] {logging_mixin.py:151} INFO - Error: El usuario o no tiene suficientes elementos
[2024-11-04T12:43:57.321+0000] {logging_mixin.py:151} INFO - Error: El usuario m no tiene suficientes elementos
[2024-11-04T12:43:57.321+0000] {logging_mixin.py:151} INFO - Error: El usuario ' no tiene suficientes elementos
[2024-11-04T12:43:57.321+0000] {logging_mixin.py:151} INFO - Error: El usuario , no tiene suficientes elementos
[2024-11-04T12:43:57.321+0000] {logging_mixin.py:151} INFO - Error: El usuario   no tiene suficientes elementos
[2024-11-04T12:43:57.322+0000] {logging_mixin.py:151} INFO - Error: El usuario 3 no tiene suficientes elementos
